Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
Theodore Burton,R,OH-21,60th,1909-03-04,Elected U.S. senator,U.S. Congress,Other office,OH,1909
Philander Knox,R,PA-SEN,60th,1909-03-04,Appointed to Taft administration,U.S. Congress,Other office,PA,1909
William Kitchin,D,NC-05,60th,1909-01-11,Elected North Carolina governor,U.S. Congress,Other office,NC,1909
George Lilley,R,CT-AL,60th,1909-01-06,Seat vacated when he became Connecticut governor,U.S. Congress,Other office,CT,1909
Charles Brumm,R,PA-12,60th,1909-01-04,Elected Pennsylvania judge,U.S. Congress,Other office,PA,1909
Charles Littlefield,R,ME-02,60th,1908-09-30,Returned to his law practice,San Francisco Call,Private sector,ME,1908
John Spooner,R,WI-SEN,60th,1907-04-30,Resumed practicing law,Sacramento Union,Private sector,WI,1907
John Reyburn,R,PA-02,60th,1907-03-31,Elected Philadelphia mayor,U.S. Congress,Other office,PA,1907
William Alden Smith,R,MI-05,59th,1907-02-09,Elected U.S. senator,U.S. Congress,Other office,MI,1907
Charles Curtis,R,KS-01,59th,1907-01-28,Elected U.S. senator,U.S. Congress,Other office,KS,1907
John Little,D,AR-04,59th,1907-01-14,Elected Arkansas governor,U.S. Congress,Other office,AR,1907
Newton Gilbert,R,IN-12,59th,1906-11-06,Appointed federal judge,U.S. Congress,Other office,IN,1906
Malcolm Patterson,D,TN-10,59th,1906-11-05,Elected Tennessee governor,U.S. Congress,Other office,TN,1906
James Gillett,R,CA-01,59th,1906-11-04,Elected California governor,U.S. Congress,Other office,CA,1906
Tim Sullivan,D,NY-08,59th,1906-07-27,Bored with Congress; returned to exercise boss power in NY & run for State Senate in 1908,Brooklyn Daily Eagle,,NY,1906
Ernest Wood,D,MO-12,59th,1906-06-23,His election was successfully contested & overturned,U.S. Congress,Election overturned,MO,1906
Joseph Burton,R,KS-SEN,59th,1906-06-04,Convicted of corruption,U.S. Senate,Other scandals,KS,1906
Claude Swanson,D,VA-05,59th,1906-01-30,Elected Virginia governor,U.S. Congress,Other office,VA,1906
Frank Brandegee,R,CT-03,59th,1905-05-10,Elected U.S. senator,U.S. Congress,Other office,CT,1905
Alston Dayton,R,WV-02,59th,1905-03-16,Appointed federal judge,U.S. Congress,Other office,WV,1905
Elmer Burkett,R,NE-01,58th,1905-03-04,Elected U.S. senator,U.S. Congress,Other office,NE,1905
Charles Fairbanks,R,IN-SEN,58th,1905-03-03,Elected vice president,U.S. Congress,Other office,IN,1905
James Hemenway,R,IN-01,58th,1905-03-03,Elected U.S. senator,U.S. Congress,Other office,IN,1905
Victor Metcalf,R,CA-03,58th,1904-07-01,Appointed to Roosevelt administration,U.S. Congress,Other office,CA,1904
William Lanning,R,NJ-04,58th,1904-06-06,Appointed federal judge,U.S. Congress,Other office,NJ,1904
Charles Dick,R,OH-19,58th,1904-03-23,Elected U.S. senator,U.S. Congress,Other office,OH,1904
John Shafroth,D,CO-01,58th,1904-02-15,Agreed that his opponent had rightfully won the election,U.S. Congress,Election overturned,CO,1904
George Howell,D,PA-11,58th,1904-02-10,His election was successfully contested & overturned,U.S. Congress,Election overturned,PA,1904
George McClellan Jr.,D,NY-12,58th,1903-12-21,Elected New York City mayor,U.S. Congress,Other office,NY,1903
Thomas Ball,D,TX-08,58th,1903-11-16,Resumed practicing law,Texas State Historical Association,Private sector,TX,1903
Joseph Gill,R,OH-16,58th,1903-10-31,Ill health,New York Times,Health/family,OH,1903
Chester Long,R,KS-07,57th,1903-03-04,Elected U.S. senator,U.S. Congress,Other office,KS,1903
Heisler Ball,R,DE-AL,57th,1903-03-03,Elected U.S. senator,U.S. Congress,Other office,DE,1903
James Butler,D,MO-12,57th,1903-02-26,His election was successfully contested & overturned,U.S. Congress,Election overturned,MO,1903
S.W.T. Lanham,D,TX-08,57th,1903-01-15,Elected Texas governor,U.S. Congress,Other office,TX,1903
James Hall,D,PA-28,57th,1902-11-29,Elected to PA State Senate,U.S. Congress,Other office,PA,1902
George Ray,R,NY-26,57th,1902-09-11,Appointed federal judge,U.S. Congress,Other office,NY,1902
James Butler,D,MO-12,57th,1902-06-28,Election declared invalid,U.S. Congress,Election overturned,MO,1902
William Moody,R,MA-06,57th,1902-05-01,Appointed to Roosevelt administration,U.S. Congress,Other office,MA,1902
John Rhea,D,KY-03,57th,1902-03-25,His election was successfully contested & overturned,U.S. Congress,Election overturned,KY,1902
Nicholas Muller,D,NY-07,57th,1901-11-22,Ill health,New York Times,Health/family,NY,1901
