,Member,Party,Year,State,Reason,Resignation Date
351,J. Lindsay Almond,D,1948,VA,Elected Virginia attorney general,1948-04-17
352,Earle Clements,D,1948,KY,Elected Kentucky governor,1948-01-06
353,Benjamin Rabin,D,1947,NY,Elected New York Supreme Court justice,1947-12-31
354,Evan Howell,R,1947,IL,Appointed federal judge,1947-10-05
355,Leo Rayfiel,D,1947,NY,Appointed federal judge,1947-09-13
356,Robert Jones,R,1947,OH,Appointed to Truman administration,1947-09-02
357,Ewing Thomason,D,1947,TX,Appointed federal judge,1947-07-31
358,Thomas D'Alesandro,D,1947,MD,Elected Baltimore mayor,1947-05-16
359,Hugh Mitchell,D,1946,WA,Lost reelection bid; resigned to let successor start early,1946-12-25
360,John Sparkman,D,1946,AL,Elected U.S. senator,1946-11-05
361,Henry Dworshak,R,1946,ID,Elected U.S. senator,1946-11-05
362,A. Willis Robertson,D,1946,VA,Elected U.S. senator,1946-11-05
363,Warren Austin,R,1946,VT,Appointed to Truman administration,1946-08-02
364,John Murphy,D,1946,PA,Appointed federal judge,1946-07-17
365,Luther Johnson,D,1946,TX,Appointed federal judge,1946-07-17
366,Thomas Burch,D,1946,VA,Appointed U.S. senator,1946-05-31
367,Samuel Weiss,D,1946,PA,Elected Pennsylvania judge,1946-01-07
368,Robert Ramspeck,D,1945,GA,Took a job with Air Transport Association,1945-12-31
369,Clifton Woodrum,D,1945,VA,Took a job with American Plant Food Council,1945-12-31
370,Samuel Dickstein,D,1945,NY,Elected New York Supreme Court justice,1945-12-30
371,Happy Chandler,D,1945,KY,Took a job with Major League Baseball,1945-11-01
372,Harold Burton,R,1945,OH,Appointed to U.S. Supreme Court,1945-09-30
373,Lane Powers,R,1945,NJ,Appointed to New Jersey Public Utilities Commission,1945-08-30
374,Clinton Anderson,D,1945,NM,Appointed to Truman administration,1945-06-30
375,Dave Satterfield Jr.,D,1945,VA,Took a job with Life Insurance Association of America,1945-02-15
376,Harry Truman,D,1945,MO,Elected vice president,1945-01-17
377,Mon Wallgren,D,1945,WA,Elected Washington governor,1945-01-09
378,William Troutman,R,1945,PA,"Unclear, but sounds like he was elected to PA State Senate",1945-01-02
379,Warren Magnuson,D,1944,WA,Appointed U.S. senator,1944-12-13
380,John Fogarty,D,1944,RI,Joined the Navy,1944-12-07
381,Al Gore Sr.,D,1944,TN,Joined the Army,1944-12-04
382,Lex Green,D,1944,FL,Joined the Navy,1944-11-25
383,Homer Bone,D,1944,WA,Appointed federal judge,1944-11-13
384,Bob Sikes,D,1944,FL,Joined the Army,1944-10-19
385,Winder Harris,D,1944,VA,Took a job with Shipbuilders' Council of America,1944-09-15
386,Will Rogers Jr.,D,1944,CA,Joined the Army,1944-05-23
387,Jimmy Domengeaux,D,1944,LA,Joined the Army,1944-04-15
388,Henry Cabot Lodge Jr.,R,1944,MA,Joined the Army,1944-02-03
389,Joseph Gavagan,D,1943,NY,Elected New York Supreme Court justice,1943-12-30
390,James McGranery,D,1943,PA,Appointed to Roosevelt administration,1943-11-17
391,James Van Zandt,R,1943,PA,Joined the Navy,1943-09-24
392,Jack Nichols,D,1943,OK,Took a job with Transcontinental & Western Air,1943-07-03
393,Anton Maciejewski,D,1942,IL,Retired & left early; unclear why,1942-12-08
394,James Scrugham,D,1942,NV,Elected U.S. senator,1942-12-07
395,Harry Beam,D,1942,IL,Elected Illinois judge,1942-12-06
396,Charles Faddis,D,1942,PA,Joined the Army,1942-12-04
397,William Cole Jr.,D,1942,MD,Appointed federal judge,1942-10-26
398,Vincent Harrington,D,1942,IA,Joined the Army,1942-09-05
399,A.D. Baumhart Jr.,R,1942,OH,Joined the Navy,1942-09-02
400,Arthur Healey,D,1942,MA,Appointed federal judge,1942-08-03
401,Robert Secrest,D,1942,OH,Joined the Navy,1942-08-03
402,Charles Leavy,D,1942,WA,Appointed federal judge,1942-08-01
403,Joseph McArdle,D,1942,PA,Elected to Pittsburgh City Council,1942-01-05
404,Harold Flannery,D,1942,PA,Elected Pennsylvania judge,1942-01-03
405,Joseph Smith,D,1941,CT,Appointed federal judge,1941-11-04
406,Wall Doxey,D,1941,MS,Elected U.S. senator,1941-09-29
407,James Byrnes,D,1941,SC,Appointed to U.S. Supreme Court,1941-07-08
408,John Miller,D,1941,AR,Appointed federal judge,1941-03-31
409,Colgate Darden ,D,1941,VA,To focus on his run for governor,1941-03-01
410,Walter Bankhead,D,1941,AL,Retured to his law practice (was always meant as a caretaker),1941-02-01
411,Matthew Neely,D,1941,WV,Elected West Virginia governor,1941-01-12
412,Thomas Hennings,D,1940,MO,Elected St. Louis circuit attorney,1940-12-31
413,Mon Wallgren,D,1940,WA,Appointed U.S. senator,1940-12-19
414,Lewis Schwellenbach,D,1940,WA,Appointed federal judge,1940-12-16
415,Paul Maloney,D,1940,LA,Became collector of internal revenue for New Orleans district,1940-12-15
416,Marvin Jones,D,1940,TX,Appointed federal judge,1940-11-20
417,Lindsay Warren,D,1940,NC,Appointed comptroller general,1940-10-31
418,Clift Chandler,D,1940,TN,Elected Memphis mayor,1940-01-02
419,Alan Goldsborough,D,1939,MD,Appointed federal judge,1939-04-05
420,Edward Eicher,D,1938,IA,Appointed to Roosevelt administration,1938-12-02
421,James Mead,D,1938,NY,Elected U.S. senator,1938-12-02
422,William McAdoo,D,1938,CA,Took a job with American Steamship Lines,1938-11-08
423,Arthur Jenks,R,1938,NH,His election was successfully contested & overturned,1938-06-09
424,Fred Vinson,D,1938,KY,Appointed federal judge,1938-05-12
425,Frederick Steiwer,R,1938,OR,Returned to his law practice,1938-01-31
426,Harry Moore,D,1938,NJ,Elected New Jersey governor,1938-01-18
